100117,ST_VOICE_POSTPAID_HOME - EDR Value,ST_VOICE_POSTPAID_HOME - EDR Value, 7, 100000, 100000
100118,ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Value,ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Value, 7, 100000, 100000
100119,ST_VOICE_POSTPAID_HOME_MO - EDR Value,ST_VOICE_POSTPAID_HOME_MO - EDR Value, 7, 100000, 100000
100120,ST_VOICE_PREPAID - EDR Value,ST_VOICE_PREPAID - EDR Value, 7, 100000, 100000
100121,ST_VOICE_PREPAID_HOME - EDR Value,ST_VOICE_PREPAID_HOME - EDR Value, 7, 100000, 100000
100122,ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Value,ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Value, 7, 100000, 100000
100123,ST_VOICE_PREPAID_HOME_MO - EDR Value,ST_VOICE_PREPAID_HOME_MO - EDR Value, 7, 100000, 100000
100179,ST_DATA_WAP_POSTPAID - EDR Count,ST_DATA_WAP_POSTPAID - EDR Count, 7, 100000, 100000
100181,ST_ALL - EDR Bytes,ST_ALL - EDR Bytes, 7, 100000, 100000
100182,ST_DATA_WAP_POSTPAID - EDR Bytes,ST_DATA_WAP_POSTPAID - EDR Bytes, 7, 100000, 100000
100183,ST_UNIDENT - EDR Bytes,ST_UNIDENT - EDR Bytes, 7, 100000, 100000
100199,ST_CONTENT_POSTPAID - EDR Count,ST_CONTENT_POSTPAID - EDR Count, 7, 100000, 100000
100202,ST_CONTENT_POSTPAID - EDR Value,ST_CONTENT_POSTPAID - EDR Value, 7, 100000, 100000
100206,ST_CONTENT_PREPAID - EDR Count,ST_CONTENT_PREPAID - EDR Count, 7, 100000, 100000
100210,ST_CONTENT_PREPAID - EDR Value,ST_CONTENT_PREPAID - EDR Value, 7, 100000, 100000
100212,ST_DATA_GPRS_PREPAID - EDR Count,ST_DATA_GPRS_PREPAID - EDR Count, 7, 100000, 100000
100213,ST_DATA_WAP_PREPAID - EDR Count,ST_DATA_WAP_PREPAID - EDR Count, 7, 100000, 100000
100215,ST_DATA_GPRS_PREPAID - EDR Bytes,ST_DATA_GPRS_PREPAID - EDR Bytes, 7, 100000, 100000
100216,ST_DATA_WAP_PREPAID - EDR Bytes,ST_DATA_WAP_PREPAID - EDR Bytes, 7, 100000, 100000
100222,ST_MMS_POSTPAID_HOME_MO - EDR Count,ST_MMS_POSTPAID_HOME_MO - EDR Count, 7, 100000, 100000
100223,ST_MMS_PREPAID_HOME_MO - EDR Count,ST_MMS_PREPAID_HOME_MO - EDR Count, 7, 100000, 100000
100240,MSOriginating - EDR Count,MSOriginating - EDR Count, 7, 100000, 100000
100241,GSM_Comp21 - EDR Count,GSM_Comp21 - EDR Count, 7, 100000, 100000
100242,GSM_Comp1 - EDR Count,GSM_Comp1 - EDR Count, 7, 100000, 100000
100243,GSM_Comp13 - EDR Count,GSM_Comp13 - EDR Count, 7, 100000, 100000
100244,GSM_Comp7 - EDR Count,GSM_Comp7 - EDR Count, 7, 100000, 100000
100245,GSM_Comp9 - EDR Count,GSM_Comp9 - EDR Count, 7, 100000, 100000
100246,SMSMOC - EDR Count,SMSMOC - EDR Count, 7, 100000, 100000
100247,SMSMTC - EDR Count,SMSMTC - EDR Count, 7, 100000, 100000
100248,Transit - EDR Count,Transit - EDR Count, 7, 100000, 100000
100251,ST_DATA_GPRS_POSTPAID_STRIP - EDR Count,ST_DATA_GPRS_POSTPAID_STRIP - EDR Count, 7, 100000, 100000
100252,ST_DATA_GPRS_PREPAID_STRIP - EDR Count,ST_DATA_GPRS_PREPAID_STRIP - EDR Count, 7, 100000, 100000
100253,ST_DATA_WAP_POSTPAID_STRIP - EDR Count,ST_DATA_WAP_POSTPAID_STRIP - EDR Count, 7, 100000, 100000
100254,ST_DATA_WAP_PREPAID_STRIP - EDR Count,ST_DATA_WAP_PREPAID_STRIP - EDR Count, 7, 100000, 100000
100257,ST_DATA_GPRS_POSTPAID_STRIP - EDR Bytes,ST_DATA_GPRS_POSTPAID_STRIP - EDR Bytes, 7, 100000, 100000
100258,ST_DATA_GPRS_PREPAID_STRIP - EDR Bytes,ST_DATA_GPRS_PREPAID_STRIP - EDR Bytes, 7, 100000, 100000
