100124,ST_DATA_3G_INBOUND_ROAMERS,Data 3G Inbound Roamers
100125,ST_DATA_2G_INBOUND_ROAMERS,Data 2G Inbound Roamers
100126,ST_DATA_4G_OUTBOUND_ROAMERS,Data 4G Outbound Roamers
100127,ST_DATA_3G_OUTBOUND_ROAMERS,Data 3G Outbound Roamers
100128,ST_DATA_2G_OUTBOUND_ROAMERS,Data 2G Outbound Roamers
100129,ST_SMS_OUTBOUND_POSTPAID_ROAMERS_MO_ARP,SMS Outbound Postpaid Roamers Mobile Originating Alternative Roaming Provider
100130,ST_SMS_OUTBOUND_POSTPAID_ROAMERS_MO,SMS Outbound Postpaid Roamers Mobile Originating
100131,ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT_ARP,Voice Outbound Postpaid Roamers Mobile Terminating Alternative Roaming Provider
100132,ST_VOICE_OUTBOUND_PREPAID_ROAMERS_MT_ARP,Voice Outbound Prepaid Roamers Mobile Terminating Alternative Roaming Provider
100133,ST_MMS_POSTPAID_ARP,MMS Postpaid Alternative Roaming Provider
100134,ST_MMS_POSTPAID_HOME_MO_ARP,MMS Postpaid Home Mobile Originating Alternative Roaming Provider
100135,ST_MMS_PREPAID_ARP,MMS Prepaid Alternative Roaming Provider
100136,ST_MMS_PREPAID_HOME_MO_ARP,MMS Prepaid Home Mobile Originating Alternative Roaming Provider
100137,ST_DATA_2G_ARP,Data 2G Alternative Roaming Provider
100138,ST_DATA_3G_ARP,Data 3G Alternative Roaming Provider
100139,ST_DATA_4G_ARP,Data 4G Alternative Roaming Provider
100140,ST_DATA_WAP_ARP,Data WAP Alternative Roaming Provider
100141,ST_DATA_GPRS_ARP,Data GPRS Alternative Roaming Provider
100142,ST_DATA_GPRS_OUTBOUND_ROAMERS,Data GPRS Outbound Roamers
100143,ST_DATA_WAP_OUTBOUND_ROAMERS,Data WAP Outbound Roamers
100154,ST_DATA_2G_OUTBOUND_ROAMERS_ARP,Data 2G Outbound Roamers Alternative Roaming Provider
100155,ST_DATA_3G_OUTBOUND_ROAMERS_ARP,Data 3G Outbound Roamers Alternative Roaming Provider
100156,ST_DATA_4G_OUTBOUND_ROAMERS_ARP,Data 4G Outbound Roamers Alternative Roaming Provider
100157,ST_DATA_GPRS_OUTBOUND_ROAMERS_ARP,Data GPRS Outbound Roamers Alternative Roaming Provider
100158,ST_DATA_WAP_OUTBOUND_ROAMERS_ARP,Data WAP Outbound Roamers Alternative Roaming Provider
100160,ST_AGG_SUCCESS,Successful Aggregation of a file
100161,ST_AGG_FAILED,Failed Aggregation of a file
100162,ST_AGG_REJECTED,Rejected Records during Aggregation
100170,ST_VOICE_PARTNERS,Voice for Partner customers (MVNO & Wholesale)
100171,ST_DATA_PARTNERS,Data for Partner customers (MVNO & Wholesale)
100172,ST_VOICE_IN_BUNDLE,Voice In Bundle
100173,ST_VOICE_OUT_BUNDLE,Voice Out of Bundle
100174,ST_VOICE_FO,Fixed Line Voice Originating
100175,ST_VOICE_FT,Fixed Line Voice Terminating
100176,ST_VOICE_INTL,Voice International
100177,ST_VOICE_DOM,Voice Domestic
