100607,100057,serviceType,8,,,,N
100608,100057,eventCount,11,,,INTEGER EXTERNAL,N
100609,100057,sumDuration,12,,,INTEGER EXTERNAL,N
100610,100057,sumBytes,13,,,INTEGER EXTERNAL,N
100611,100057,sumValue,14,,,INTEGER EXTERNAL,N
100700,100079,currentDir,1,,,,N
100701,100079,edrFileName,2,,,,N
100702,100079,neId,3,,,,N
100703,100079,umIdentifier,4,,,,N
100704,100079,usageType,5,,,,N
100705,100079,timeSlot,7,,,INTEGER EXTERNAL,N
100706,100079,serviceType,8,,,,N
100707,100079,eventCount,11,,,INTEGER EXTERNAL,N
100708,100079,sumDuration,12,,,INTEGER EXTERNAL,N
100709,100079,sumBytes,13,,,INTEGER EXTERNAL,N
100710,100079,sumValue,14,,,INTEGER EXTERNAL,N
100711,100079,dummy filler,15,,,,N
100712,100080,currentDir,1,,,,N
100713,100080,edrFileName,2,,,,N
100714,100080,neId,3,,,,N
100715,100080,umIdentifier,4,,,,N
100716,100080,usageType,5,,,,N
100717,100080,timeSlot,7,,,INTEGER EXTERNAL,N
100718,100080,serviceType,8,,,,N
100719,100080,eventCount,11,,,INTEGER EXTERNAL,N
100720,100080,sumDuration,12,,,INTEGER EXTERNAL,N
100721,100080,sumBytes,13,,,INTEGER EXTERNAL,N
100722,100080,sumValue,14,,,INTEGER EXTERNAL,N
100723,100080,dummy filler,15,,,,N
100724,100081,currentDir,1,,,,N
100725,100081,edrFileName,2,,,,N
100726,100081,neId,3,,,,N
100727,100081,umIdentifier,4,,,,N
100728,100081,usageType,5,,,,N
100729,100081,timeSlot,7,,,INTEGER EXTERNAL,N
100730,100081,serviceType,8,,,,N
100731,100081,eventCount,11,,,INTEGER EXTERNAL,N
100732,100081,sumDuration,12,,,INTEGER EXTERNAL,N
100733,100081,sumBytes,13,,,INTEGER EXTERNAL,N
100734,100081,sumValue,14,,,INTEGER EXTERNAL,N
100735,100081,dummy filler,15,,,,N
