100070,SUMDURATION,100297,
100070,SUMBYTES,100298,
100070,SUMVALUE,100436,
100071,CURRENTDIR,100299,"concat(concat(:currentDir,'/'),:edrFileName)""
100071,EDRFILENAME,100300,
100071,NEID,100301,
100071,UMIDENTIFIER,100302,
100071,USAGETYPE,100303,
100071,TIMESLOT,100305,"to_date(:timeslot,'YYYYMMDDHH24')"
100071,SERVICETYPE,100306,
100071,EVENTCOUNT,100309,
100071,SUMDURATION,100310,
100071,SUMBYTES,100311,
100071,SUMVALUE,100437,
100076,EDRFILENAME,100365,
100076,EVENTCOUNT,100374,
100076,CURRENTDIR,100364,"concat(concat(:currentDir,'/'),:edrFileName)""
100076,NEID,100366,
100076,SERVICETYPE,100371,
100076,SUMBYTES,100376,
100076,SUMDURATION,100375,
100076,TIMESLOT,100370,"to_date(:timeslot,'YYYYMMDDHH24')"
100076,UMIDENTIFIER,100367,
100076,USAGETYPE,100368,
100076,SUMVALUE,100442,
100077,EDRFILENAME,100378,
100077,EVENTCOUNT,100387,
100077,CURRENTDIR,100377,"concat(concat(:currentDir,'/'),:edrFileName)""
100077,NEID,100379,
100077,SERVICETYPE,100384,
100077,SUMBYTES,100389,
100077,SUMDURATION,100388,
100077,TIMESLOT,100383,"to_date(:timeslot,'YYYYMMDDHH24')"
100077,UMIDENTIFIER,100380,
100077,USAGETYPE,100381,
100077,SUMVALUE,100443,
100078,EDRFILENAME,100391,
100078,EVENTCOUNT,100400,
100078,CURRENTDIR,100390,"concat(concat(:currentDir,'/'),:edrFileName)""
100078,NEID,100392,
100078,SERVICETYPE,100397,
100078,SUMBYTES,100402,
100078,SUMDURATION,100401,
100078,TIMESLOT,100396,"to_date(:timeslot,'YYYYMMDDHH24')"
100078,UMIDENTIFIER,100393,
100078,USAGETYPE,100394,
100078,SUMVALUE,100444,
100057,PROCESSDATE,,"get_process_date_from_filename('[FILENAME]')"
